,rateCareerOpportunities,rateCompensation_Benefits,rateCultureValues,rateGeneralView,rateOpinionAboutManagement,rateWorklifeBalance,rateCeoApproval,ratePositiveBusinessView,rateRecommendToFriend,NombreEmpresa,codigo_pais,sub_region
12899,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Asteelflash,FR,Western Europe
12900,5.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,Asteelflash,FR,Western Europe
12901,4.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,HolaLuz,ES,Southern Europe
12902,3.0,1.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0,HolaLuz,ES,Southern Europe
12903,2.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,HolaLuz,ES,Southern Europe
12904,2.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,1.0,Parfümerie Douglas,DE,Western Europe
12905,4.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0,Parfümerie Douglas,DE,Western Europe
12906,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,Parfümerie Douglas,DE,Western Europe
12907,4.0,5.0,5.0,4.0,3.0,4.0,0.0,1.0,1.0,Parfümerie Douglas,DE,Western Europe
12908,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,Parfümerie Douglas,DE,Western Europe
12909,4.0,4.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,GrammyTech,HK,Eastern Asia
12910,4.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,GrammyTech,HK,Eastern Asia
12911,1.0,4.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,Global Quest Consulting Group,PH,South-eastern Asia
12912,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,Global Quest Consulting Group,PH,South-eastern Asia
12913,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,Global Quest Consulting Group,PH,South-eastern Asia
12914,4.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,Global Quest Consulting Group,PH,South-eastern Asia
12915,2.0,3.0,3.0,3.0,2.0,4.0,0.0,0.0,2.0,Global Quest Consulting Group,PH,South-eastern Asia
12916,5.0,5.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,Foresight Group,AU,Australia and New Zealand
12917,4.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,0.0,Foresight Group,AU,Australia and New Zealand
12918,3.0,5.0,5.0,4.0,4.0,5.0,0.0,2.0,1.0,Foresight Group,AU,Australia and New Zealand
12919,4.0,3.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,Foresight Group,AU,Australia and New Zealand
12920,4.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,1.0,Wistron,HK,Eastern Asia
12921,5.0,5.0,5.0,4.0,5.0,4.0,1.0,1.0,1.0,Wistron,HK,Eastern Asia
12922,3.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,Wistron,HK,Eastern Asia
12923,4.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,Wistron,HK,Eastern Asia
12924,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,Wistron,HK,Eastern Asia
12925,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Just in Time Synergy,MY,South-eastern Asia
12926,2.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,Just in Time Synergy,MY,South-eastern Asia
12927,5.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,Just in Time Synergy,MY,South-eastern Asia
12928,5.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,1.0,Just in Time Synergy,MY,South-eastern Asia
12929,5.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,ConvertCart,IN,Southern Asia
12930,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,ConvertCart,IN,Southern Asia
12931,4.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,ConvertCart,IN,Southern Asia
12932,2.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,ConvertCart,IN,Southern Asia
12933,5.0,4.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0,ConvertCart,IN,Southern Asia
12934,5.0,4.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,Ministry of Manpower,SG,South-eastern Asia
12935,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,Ministry of Manpower,SG,South-eastern Asia
12936,5.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,Ministry of Manpower,SG,South-eastern Asia
12937,4.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,Chevron,AR,Latin America and the Caribbean
12938,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,Chevron,AR,Latin America and the Caribbean
12939,3.0,5.0,3.0,4.0,2.0,5.0,0.0,0.0,0.0,Chevron,AR,Latin America and the Caribbean
12940,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,Chevron,AR,Latin America and the Caribbean
12941,5.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,ORES,BE,Western Europe
12942,0.0,0.0,4.0,4.0,0.0,5.0,3.0,1.0,1.0,ORES,BE,Western Europe
12943,4.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Musgrave Group,IE,Northern Europe
12944,2.0,4.0,3.0,3.0,2.0,5.0,0.0,2.0,0.0,Musgrave Group,IE,Northern Europe
12945,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,Liberty Insurance,TH,South-eastern Asia
12946,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,1.0,Liberty Insurance,TH,South-eastern Asia
12947,2.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,Liberty Insurance,TH,South-eastern Asia
12948,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,Liberty Insurance,TH,South-eastern Asia
12949,4.0,4.0,5.0,4.0,5.0,3.0,0.0,1.0,1.0,Adonis Insurance,FR,Western Europe
12950,4.0,5.0,5.0,4.0,5.0,5.0,3.0,1.0,1.0,Ultria,IN,Southern Asia
12951,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,ELCA Informatique,CH,Western Europe
12952,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Datascrip,ID,South-eastern Asia
12953,5.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,Vertical Scale,DE,Western Europe
12954,5.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,Vertical Scale,DE,Western Europe
12955,5.0,5.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,Vertical Scale,DE,Western Europe
12956,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Bank Sinarmas,ID,South-eastern Asia
12957,5.0,5.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,SNCF,FR,Western Europe
