,salario,NombreEmpresa,modalidad,Plataforma,Fecha,salary.country.currency.currencyCode,PuestoTrabajo,pais,codigo_pais,sub_region
52,108320.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-10-30,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
53,67058.0,TE Connectivity,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
54,67371.0,Transfast,presencial,glassdoor,2019-11-07,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
55,78231.0,Deintec,presencial,glassdoor,2019-10-23,,data analyst,Mexico,MX,Latin America and the Caribbean
56,79303.0,TE Connectivity,presencial,glassdoor,2019-11-01,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
57,80276.0,BioCatch,presencial,glassdoor,2019-10-31,,data analyst,Mexico,MX,Latin America and the Caribbean
58,80305.0,Page Group (London),presencial,glassdoor,2019-10-28,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
59,87150.0,Amazon,presencial,glassdoor,2019-10-23,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
60,87244.0,Epson America,presencial,glassdoor,2019-11-05,,data analyst,Mexico,MX,Latin America and the Caribbean
61,2958.0,Transfast,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
62,12904.0,PPG Industries,presencial,glassdoor,2019-10-14,,data analyst,Mexico,MX,Latin America and the Caribbean
63,13059.0,Eaton,presencial,glassdoor,2019-10-16,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
64,17920.0,Air Liquide,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
65,33371.0,Colgate-Palmolive,presencial,glassdoor,2019-10-30,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
66,33511.0,Mondelēz International,presencial,glassdoor,2019-10-18,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
67,34125.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-11-02,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
68,37944.0,TE Connectivity,presencial,glassdoor,2019-10-28,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
69,38054.0,La Delegación Permanente de México ante la OCDE,presencial,glassdoor,2019-10-29,,data analyst,Mexico,MX,Latin America and the Caribbean
70,110100.0,IBM,presencial,glassdoor,2019-11-09,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
71,111887.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
72,120021.0,HP Inc.,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
73,127911.0,TaleXa,presencial,glassdoor,2019-11-05,,data analyst,Mexico,MX,Latin America and the Caribbean
74,128045.0,Libbey,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
75,102186.0,Eaton,presencial,glassdoor,2019-10-16,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
